instante,latitude,longitude
2018-01-21 19:14:02.070,-8.03779122229,-34.98167551099
2018-01-21 19:14:32.037,-8.03780934621,-34.9816665289
2018-01-21 19:15:02.050,-8.0378274264,-34.98166661666
2018-01-21 19:15:32.033,-8.03781838631,-34.98166657278
2018-01-21 19:16:02.047,-8.03781838631,-34.98166657278
2018-01-21 19:16:32.030,-8.03782747014,-34.98165754681
2018-01-21 19:17:02.043,-8.03784541911,-34.98168484413
2018-01-21 19:17:32.027,-8.03787253939,-34.98168497577
2018-01-21 19:18:02.027,-8.03787249565,-34.98169404563
2018-01-21 19:18:32.053,-8.03787245191,-34.98170311548
2018-01-21 19:19:02.037,-8.03785441547,-34.98169395786
2018-01-21 19:19:32.050,-8.03786341182,-34.9817030716
2018-01-21 19:20:02.050,-8.0378544592,-34.98168488801
2018-01-21 19:20:32.030,-8.03786363051,-34.98165772233
2018-01-21 19:21:02.030,-8.03784550659,-34.98166670442
2018-01-21 19:21:32.027,-8.03783642276,-34.98167573039
2018-01-21 19:22:02.043,-8.03783637902,-34.98168480025
2018-01-21 19:22:32.040,-8.03783642276,-34.98167573039
2018-01-21 19:23:02.037,-8.03792879167,-34.98126802568
2018-01-21 19:23:32.053,-8.03712055968,-34.98014848674
2018-01-21 19:24:02.037,-8.03621100435,-34.97941847263
2018-01-21 20:05:02.077,-8.06155583367,-34.88246520954
2018-01-21 20:05:32.043,-8.0612090813,-34.88316208044
2018-01-21 20:06:02.040,-8.05999533643,-34.88562379476
2018-01-21 20:06:32.040,-8.05965807968,-34.88622092187
2018-01-21 20:07:02.037,-8.05816318492,-34.88887180154
2018-01-21 20:07:32.037,-8.05768006295,-34.88973130432
2018-01-21 20:08:02.033,-8.05747028985,-34.89012945395
2018-01-21 20:08:32.033,-8.05643397413,-34.89331761744
2018-01-21 20:09:02.030,-8.05619569405,-34.89401497149
2018-01-21 20:09:32.030,-8.05438752888,-34.89597494634
2018-01-21 20:10:02.027,-8.05290897137,-34.89703842571
2018-01-21 20:10:32.040,-8.05242849662,-34.8992766824
2018-01-21 20:11:02.023,-8.0524733633,-34.89934945806
2018-01-21 20:11:32.053,-8.05271569803,-34.90168178779
2018-01-21 20:12:02.050,-8.05304640272,-34.90444992891
2018-01-21 20:12:32.050,-8.05306423104,-34.90450443707
2018-01-21 20:13:02.047,-8.05329926525,-34.90645575884
2018-01-21 20:13:32.030,-8.0541193882,-34.90895406971
2018-01-21 20:14:02.030,-8.0546798556,-34.90896576663
2018-01-21 20:14:32.043,-8.05616169146,-34.90914505698
2018-01-21 20:15:02.027,-8.05581756008,-34.91121159511
2018-01-21 20:15:32.040,-8.05470514972,-34.91323823593
2018-01-21 20:16:02.037,-8.05445889917,-34.91369968983
2018-01-21 20:16:32.050,-8.05391177312,-34.91470397595
2018-01-21 20:17:02.033,-8.0523256017,-34.9175084489
2018-01-21 20:17:32.047,-8.05193376769,-34.91816876722
2018-01-21 20:18:02.047,-8.05043798295,-34.92097363532
2018-01-21 20:18:32.027,-8.04869681733,-34.92404944004
