cpu_consumption
1.813
1.860
1.993
1.883
2.080
2.063
2.127
2.033
2.060
2.027
1.999
1.894
1.877
1.993
2.034
1.899
2.090
2.007
1.996
2.042
1.873
2.101
2.076
1.859
1.866
2.119
2.016
1.843
2.031
1.851
1.923
1.843
1.907
2.100
2.220
1.880
2.127
1.943
1.847
2.157
2.059
1.913
2.064
2.007
2.016
1.999
1.914
2.101
2.009
1.890
2.138
2.097
1.934
2.068
2.131
2.007
2.197
2.077
2.126
1.893
2.610
2.853
2.893
2.623
2.493
2.787
2.617
2.890
2.534
2.383
2.310
2.583
2.540
2.874
2.659
2.689
2.803
2.398
2.501
2.484
2.480
2.715
2.863
2.459
2.727
2.472
2.647
2.810
2.478
2.316
