cpu_consumption
1.897
1.910
1.790
1.880
1.900
1.813
1.933
1.910
1.927
1.923
1.863
1.883
1.927
1.875
1.904
1.930
1.908
1.832
1.893
1.884
1.901
1.867
1.829
1.915
1.851
1.807
1.894
1.860
1.857
1.801
2.290
2.213
2.560
2.393
2.623
2.377
2.617
2.547
2.710
2.383
2.313
2.313
2.033
2.247
2.273
2.501
2.310
2.295
2.304
2.064
2.354
2.483
2.186
2.337
2.331
2.398
2.103
2.532
2.251
2.604
1.913
1.613
1.873
2.023
1.903
1.693
1.827
1.910
1.748
2.067
1.690
1.677
1.700
1.870
1.723
1.725
2.013
1.704
1.655
1.722
1.737
1.675
1.633
1.858
1.914
1.641
1.634
1.751
1.942
1.725
