cpu_consumption,memory_usage
1.813,46.835,
1.860,46.828,
1.993,46.712,
1.883,46.793,
2.080,46.123,
2.063,46.697,
2.127,47.298,
2.033,46.512,
2.060,47.406,
2.027,46.335,
