cpu_consumption,memory_usage
2.610,40.365,
2.853,40.552,
2.893,40.757,
2.623,40.124,
2.493,40.340,
2.787,40.450,
2.617,40.499,
2.890,40.401,
2.534,40.521,
2.383,40.894,
