cpu_consumption,memory_usage
1.897,46.236,
1.910,46.622,
1.790,46.573,
1.880,46.529,
1.900,46.262,
1.813,46.150,
1.933,46.354,
1.910,46.567,
1.927,46.353,
1.923,46.027,
