cpu_consumption,memory_usage
2.290,39.912,
2.213,40.155,
2.560,40.020,
2.393,39.970,
2.623,39.465,
2.377,39.758,
2.617,39.658,
2.547,39.900,
2.710,40.441,
2.383,39.823,
