cpu_consumption,memory_usage
1.913,40.847,
1.613,40.975,
1.873,40.294,
2.023,40.324,
1.903,40.414,
1.693,40.329,
1.827,40.377,
1.910,40.261,
1.748,40.423,
2.067,40.520,
