memory_usage
240.381
183.581
200.836
175.027
201.042
188.694
190.788
220.395
210.008
238.853
235.057
193.094
201.229
225.568
195.901
198.832
222.053
203.845
197.585
194.913
218.091
222.820
201.160
182.042
216.205
196.879
205.575
191.547
221.379
211.721
227.982
287.547
240.493
174.838
223.688
274.765
242.921
236.577
181.791
192.841
234.287
193.048
187.433
247.017
251.068
183.682
204.920
201.078
266.964
245.514
222.920
190.896
277.398
281.856
194.324
213.628
272.589
271.494
217.815
263.331
128.223
140.138
162.134
156.692
206.746
159.122
165.456
138.285
159.756
157.781
200.337
144.380
173.687
143.066
155.917
142.128
170.021
180.103
167.682
148.659
169.893
155.571
177.886
140.557
203.086
192.187
179.312
139.742
204.295
183.744
