cpu_consumption
43.292
38.230
37.054
39.290
41.098
41.788
40.900
40.320
40.249
37.191
41.241
38.651
41.832
38.260
41.875
42.433
37.619
37.831
43.105
42.907
38.486
40.711
37.740
41.446
40.513
38.176
40.366
37.190
37.929
43.153
36.039
33.613
38.780
41.577
35.308
37.396
34.855
35.215
35.795
40.382
36.806
40.291
39.114
35.112
39.375
39.859
34.238
36.201
40.799
38.529
39.525
36.173
35.392
41.066
38.815
41.177
39.640
40.338
33.752
40.324
50.173
47.714
43.996
49.424
40.550
44.203
40.556
41.508
44.099
47.956
43.796
45.183
47.102
42.461
45.258
42.751
45.808
49.338
48.099
43.899
45.812
41.492
47.103
40.610
47.218
49.372
49.469
49.569
42.238
43.014
