cpu_consumption,memory_usage
1.813,46.835,
1.860,46.828,
1.993,46.712,
1.883,46.793,
2.080,46.123,
2.063,46.697,
2.127,47.298,
2.033,46.512,
2.060,47.406,
2.027,46.335,
1.999,46.415,
1.894,46.562,
1.877,46.294,
1.993,47.384,
2.034,46.368,
1.899,46.260,
2.090,47.037,
2.007,47.385,
1.996,47.209,
2.042,46.151,
1.873,46.332,
2.101,47.009,
2.076,47.217,
1.859,47.315,
1.866,47.182,
2.119,46.983,
2.016,46.421,
1.843,46.584,
2.031,46.293,
1.851,47.106,
