memory_usage
74.887
75.491
75.542
79.388
72.343
72.775
74.898
77.500
77.396
75.799
73.124
72.881
73.997
76.834
77.595
77.467
73.655
76.159
72.781
74.070
74.112
78.204
75.269
77.631
77.784
77.112
74.993
79.327
78.443
79.139
103.612
105.230
96.578
99.721
100.977
100.718
99.854
100.548
100.264
100.558
99.755
99.759
100.561
100.513
100.163
100.393
100.517
100.195
100.035
100.305
100.470
100.047
100.781
100.913
99.803
100.064
99.999
99.848
100.266
100.953
76.583
78.883
82.116
75.954
79.877
81.119
79.222
81.203
79.924
80.303
76.941
78.661
76.810
77.590
78.119
80.262
80.096
80.421
77.715
77.093
77.983
77.030
79.658
76.431
79.409
77.656
75.995
79.353
80.439
79.375
