cpu_consumption
25.241
25.013
26.394
29.204
28.187
27.550
26.148
27.779
27.287
28.606
27.923
27.957
26.608
25.108
26.496
25.670
27.423
25.148
27.548
25.422
25.250
27.637
28.286
26.469
28.865
27.343
25.092
29.144
26.945
27.789
29.179
27.711
31.950
31.237
31.650
29.964
28.564
27.978
28.691
29.500
31.943
29.029
27.949
27.751
31.153
31.864
31.252
28.723
28.900
28.230
28.723
31.390
31.497
28.017
31.088
30.122
30.172
31.799
28.633
28.154
25.621
26.661
22.957
22.906
23.464
26.351
25.192
24.628
25.783
24.404
25.822
24.695
26.361
25.174
25.902
26.149
23.177
24.559
25.475
23.747
23.215
26.006
26.623
26.278
26.538
25.900
23.851
26.359
24.040
25.977
