cpu_consumption,memory_usage
29.179,94.303,
27.711,100.086,
31.950,94.185,
31.237,97.398,
31.650,103.718,
29.964,99.139,
28.564,97.420,
27.978,99.009,
28.691,99.775,
29.500,99.195,
31.943,99.720,
29.029,97.965,
27.949,97.934,
27.751,99.844,
31.153,98.905,
31.864,98.429,
31.252,100.055,
28.723,99.595,
28.900,98.022,
28.230,99.305,
28.723,98.195,
31.390,99.424,
31.497,99.638,
28.017,99.172,
31.088,99.376,
30.122,97.608,
30.172,98.569,
31.799,98.198,
28.633,98.976,
28.154,98.359,
