cpu_consumption,memory_usage
21.539,74.887,
19.933,75.491,
21.273,75.542,
20.529,79.388,
18.320,72.343,
20.281,72.775,
20.087,74.898,
19.519,77.500,
20.883,77.396,
21.327,75.799,
19.160,73.124,
19.998,72.881,
18.939,73.997,
20.899,76.834,
19.302,77.595,
20.391,77.467,
20.869,73.655,
20.526,76.159,
20.599,72.781,
20.989,74.070,
19.081,74.112,
20.697,78.204,
20.769,75.269,
19.662,77.631,
18.809,77.784,
19.003,77.112,
20.006,74.993,
19.223,79.327,
19.571,78.443,
19.835,79.139,
